Article Name;Article number (MGB);Var;Locations;MMS Stock;MMS Stock (1 piece);WMS Stock;WMS Stock (1 piece);Pick qty;Pick qty (1 piece);Difference;Difference (1 piece)
50 POT A SOUPE KRAFT 48CL;866070;1;MEAT_SPECIAL_HANDLING-12-13-A1-4,MEAT_SPECIAL_HANDLING-12-13-A1-3;20;20;30;30;0;0;-10;-10
50 POT A SOUPE KRAFT 36CL;866153;1;MEAT_SPECIAL_HANDLING-12-11-A1-4,MEAT_SPECIAL_HANDLING-12-13-A1-2;11;11;21;21;0;0;-10;-10
LRN TART SUCRE PB 81MMX9;889423;1;MEAT_SPECIAL_HANDLING-6-33-C1-2,UNLOADING-1;50;50;33;60;0;0;17;-10
SMARTIES 500G;888274;1;MEAT_SPECIAL_HANDLING-10-20-A1-4;45;45;55;55;0;0;-10;-10
MPRO 500 BROCH BAMB GOLF 9 CM;893718;1;MEAT_SPECIAL_HANDLING-5-28-A1-5;94;94;104;104;0;0;-10;-10
NOIX ST JAC SC FR 15/25 1KG;891805;1;DEEP_FROZEN-43-7-A2-1;10;10;20;20;0;0;-10;-10
CABECOU DU PERIGORD 35GX12;892738;1;MEAT_SPECIAL_HANDLING-25-3-A2-5;-1;-1;9;9;0;0;-10;-10
DR BECHER NETT DESINF RAPID 1L;389193;1;MEAT_SPECIAL_HANDLING-1-32-A1-1,MEAT_SPECIAL_HANDLING-2-2-A3-2;72;72;82;82;0;0;-10;-10
GLACE ARTISANALE MANGUE 2.5L;142871;1;DEEP_FROZEN-43-4-A1-7,UNLOADING-1;12;12;22;22;0;0;-10;-10
MPRO 500 PAILLE BLANC D6 20CM;888243;1;MEAT_SPECIAL_HANDLING-6-31-C1-3,MEAT_SPECIAL_HANDLING-6-13-A3-2;148;148;158;158;0;0;-10;-10
