Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
RED BULL RED EDITION 25CL,859412,1,291658,MEAT_SPECIAL_HANDLING-4-11-A3-3,8,192,7,168,0,0,1,24
FEVER TREE TONIC WATER 20CL,387166,1,193219,MEAT_SPECIAL_HANDLING-4-11-A2-4,4,96,3,72,0,0,1,24
RED BULL BOITE 25CL,397260,1,202283,"MEAT_SPECIAL_HANDLING-4-13-B1-1,MEAT_SPECIAL_HANDLING-2-17-A1-1,INSPECTION-3",73,1752,72,1728,0,0,1,24
FUZETEA MENTH/CITRON VERT 33CL,857386,1,264538,MEAT_SPECIAL_HANDLING-1-10-A1-1,30,720,28,672,1,24,1,24
GUERROUA RG MILTOULAL 37.5CL M,807714,1,215908,MEAT_SPECIAL_HANDLING-8-29-A4-1,4,48,2,24,0,0,2,24
ORANGINA SLIM BOITE JAUN 33CL,396521,1,202818,"MEAT_SPECIAL_HANDLING-2-13-B1-3,MEAT_SPECIAL_HANDLING-2-3-A1-2,MEAT_SPECIAL_HANDLING-2-13-B1-2,MEAT_SPECIAL_HANDLING-2-18-B1-3,MEAT_SPECIAL_HANDLING-12-23-C1-2,MEAT_SPECIAL_HANDLING-2-3-B1-2",587,14088,583,13992,3,72,1,24
LIQUEUR COCO DELAITRE 18D 70CL,164956,1,166879,MEAT_SPECIAL_HANDLING-8-5-A3-3,52,52,28,28,0,0,24,24
LBDF COMPOT POMME ALLEGEE 4/4,839387,1,246837,MEAT_SPECIAL_HANDLING-10-36-A1-4,5,60,3,36,0,0,2,24
SAL BATAVIA MC PC12 C1 FRFRANCE,30591,1,30591,MEAT_SPECIAL_HANDLING-30-9-A1-1,13,156,11,132,0,0,2,24
SUCRE CRISTAL  1KG ROCHAMB,839756,1,247303,"MEAT_SPECIAL_HANDLING-11-30-B1-2,MEAT_SPECIAL_HANDLING-11-29-A1-2",130,780,124,744,2,12,4,24
"BREWDOG PUNK IPA 5,4D 33 CL VP",866331,1,275396,"MEAT_SPECIAL_HANDLING-5-27-B1-2,MEAT_SPECIAL_HANDLING-5-27-A3-4",15,180,13,156,0,0,2,24
PAGO FRAISE 33CL PET,397280,1,202303,MEAT_SPECIAL_HANDLING-4-4-A3-1,9,108,7,84,0,0,2,24
FENTIMANS GINGER BEER 20CL VP,874754,1,284320,MEAT_SPECIAL_HANDLING-4-3-A4-4,5,120,4,96,0,0,1,24
ABATILLE STD 50CL PET,396979,1,201687,"MEAT_SPECIAL_HANDLING-3-13-B1-1,MEAT_SPECIAL_HANDLING-1-1-B1-1,MEAT_SPECIAL_HANDLING-4-22-A1-1,MEAT_SPECIAL_HANDLING-1-11-B1-1,MEAT_SPECIAL_HANDLING-3-12-B1-1",302,7248,299,7176,2,48,1,24
SPRITE 25CL IVC,886651,1,297676,"MEAT_SPECIAL_HANDLING-1-9-B1-1,MEAT_SPECIAL_HANDLING-1-21-A1-1",13,312,12,288,0,0,1,24
SIROP AGAV SQUEEZ 500G BIO*SUN,683524,1,107693,MEAT_SPECIAL_HANDLING-9-18-A1-5,43,43,19,19,0,0,24,24
CDP CH MAUVANN RSE MIL 75CL AO,815592,1,null,null,24,24,0,0,0,0,24,24
CAMEMBERT 250G BONS MAYENNAIS,829917,1,236566,MEAT_SPECIAL_HANDLING-25-3-A2-2,57,57,33,33,0,0,24,24
COCA SANS SUCRES 50CL,399081,1,204703,"MEAT_SPECIAL_HANDLING-4-19-A1-1,MEAT_SPECIAL_HANDLING-3-29-A1-3",125,1500,123,1476,0,0,2,24
G.PASIONE VENEZIE IGT 75CL RGE,807416,1,213112,MEAT_SPECIAL_HANDLING-8-27-A2-5,5,30,1,6,0,0,4,24
LIPTON PECHE BTE 33CL SLIM,839230,1,246459,"MEAT_SPECIAL_HANDLING-2-3-C1-1,MEAT_SPECIAL_HANDLING-1-10-A1-2,MEAT_SPECIAL_HANDLING-2-3-A1-3",162,3888,156,3744,5,120,1,24
CREME UHT 30% 1L MC BK,863186,1,272150,"MEAT_SPECIAL_HANDLING-23-17-B1-3,MEAT_SPECIAL_HANDLING-22-16-A1-1,MEAT_SPECIAL_HANDLING-22-16-B1-3,MEAT_SPECIAL_HANDLING-22-16-B1-1",443,2658,437,2622,2,12,4,24
