Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
BADOIT VERT 1L PET,397304,1,202327,MEAT_SPECIAL_HANDLING-3-14-A1-3,43,258,46,276,0,0,-3,-18
VDF BLC PREJUGES 75CL,888227,1,299107,"MEAT_SPECIAL_HANDLING-9-13-A1-1,MEAT_SPECIAL_HANDLING-8-22-B1-3",24,144,27,162,0,0,-3,-18
ORANGINA JAUN 1.5L,397662,1,202572,"MEAT_SPECIAL_HANDLING-3-13-A1-1,MEAT_SPECIAL_HANDLING-1-35-C1-1,MEAT_SPECIAL_HANDLING-3-11-C1-2,MEAT_SPECIAL_HANDLING-1-19-C1-1,MEAT_SPECIAL_HANDLING-3-12-B1-2",254,1524,257,1542,0,0,-3,-18
CHEF NAT LIQ DEMI GLACE 1L,145297,1,145748,"MEAT_SPECIAL_HANDLING-10-2-B1-1,MEAT_SPECIAL_HANDLING-10-5-A2-4,MEAT_SPECIAL_HANDLING-10-2-A3-2",162,162,180,180,0,0,-18,-18
RIOBA SPECULOOS 6GX300,671881,1,59068,"MEAT_SPECIAL_HANDLING-11-8-C1-3,MEAT_SPECIAL_HANDLING-8-4-A3-1",7,7,24,24,0,0,-17,-17
FLOCON AVOINE COMPLET BIO*900G,892970,1,304826,MEAT_SPECIAL_HANDLING-11-14-A3-3,14,14,31,31,0,0,-17,-17
HEINEKEN PACK 5D 20X25CL VP,397027,1,201729,"MEAT_SPECIAL_HANDLING-2-11-A1-2,MEAT_SPECIAL_HANDLING-4-1-C1-3",11,11,27,27,0,0,-16,-16
MC 120 CORNET GLACE 63X170MM,893517,1,305413,"MEAT_SPECIAL_HANDLING-12-6-B1-1,INSPECTION-1,MEAT_SPECIAL_HANDLING-7-15-C1-2",23,23,39,39,0,0,-16,-16
BRIE 60% 3KG ENV MC,687429,1,71260,MEAT_SPECIAL_HANDLING-23-21-A1-2,172.98,172.98,188.72,188.72,0,0,-15.740000000000009,-15.740000000000009
CHOCO COUV EXCEL55%PIST SCH5KG,174189,1,177220,"MEAT_SPECIAL_HANDLING-7-27-B1-3,MEAT_SPECIAL_HANDLING-5-17-A1-2",32,32,47,47,0,0,-15,-15
OEUF POCHE SS VIDE X16,829839,1,236324,"MEAT_SPECIAL_HANDLING-25-8-B1-2,MEAT_SPECIAL_HANDLING-23-9-A1-3",128,128,142,142,0,0,-14,-14
"STNECTLAIT AOP PAIL 1,8KGENMDF",145018,1,145483,MEAT_SPECIAL_HANDLING-22-13-A1-2,109.83,109.83,122.91,122.91,0,0,-13.079999999999998,-13.079999999999998
CASSONADE 100% PURE CANNE 5KG,840896,1,247887,MEAT_SPECIAL_HANDLING-6-29-A1-1,53,53,66,66,0,0,-13,-13
SH RD 15%MG VBF 150GX8 S/AT,154175,1,155185,MEAT_SPECIAL_HANDLING-22-14-A1-1,1,1,14,14,0,0,-13,-13
1/8 GORGON AOP BARUFFALDI,839939,1,247365,"MEAT_SPECIAL_HANDLING-21-19-B1-1,MEAT_SPECIAL_HANDLING-23-3-A1-1",143.71,143.71,155.86,155.86,0,0,-12.150000000000006,-12.150000000000006
